Name,Orig Name,Manu.,Year,Machine Settings,Tech Notes,Concerns,Lock Stealing,Group,
Metallica,Metallica,Stern,2013,,Valid playfield must be enabled as a tournament setting.,"If the orbit post in the back of the game is not perfectly level with the playfield, balls have a tendency to stick in this location when rolling slowly through the orbit. This issue frequently arises during multiball. One potential fix is to disable the post in the menu settings, hoping it allows balls to pass through the orbit at a higher speed more frequently.",No,GRBE4,1
Monopoly,Monopoly,Stern,2001,,"If you ever find a Monopoly pinball on location, walk up to it in attract mode (the machine is just sitting there without a game started) and press the flippers in the following order. Both - 1x, left - 7x, right - 1x, left - 4x, right - 1x, left - 4x, right - 2x. Merry Christmas. ~Courtesy of Greg Dunlap",,No,G48w3,1
Monster Bash,Monster Bash,Williams,1998,,Be sure the scoop kickout is aligned properly.,"Flipper codes can potentially break Lyman’s Lament in a multiplayer game, but flipper codes should be against the rules in all competition anyway.",No,Gr3EW,1
Mousin' Around!,Mousin' Around,Bally,1989,,,"Mousin Around suffers from one-dimensional scoring strategies related to the center ramp. If the game is not modified in some way to eliminate or bypass this switch, it should not be used in expert divisions.",No,G43oq,1
NBA,NBA,Stern,2009,,The magnet on the backboard can be adjusted forward or back to make shots more likely to stick. Each game is different and needs to be adjusted appropriately so players receive as high a percentage of shots as possible.,"Aside from frequent stuck balls, there is no major reason why NBA shouldn’t be used in a tournament.",No,G5K19,1
NBA Fastbreak,NBA Fastbreak,Bally,1997,,,"Official PAPA rules declare championship rings are worth an additional 100 points to a player’s score. If your event does not award these extra points, ensure the final mode requalifies everything and the number of jets for hoop-awards are fixed at a low number.",No,GrO0D,1
Nitro Ground Shaker,Nitro Ground Shaker,Bally,1978,,,,No,GrP6q,1
No Good Gofers,No Good Gofers,Williams,1997,,A full plunge from the shooter lane should send the ball up the side ramp.,No Good Gofers has several bugs that make the game a poor competitive choice. Examples include but are not limited to: Free lock award can cause problems during subsequent multiballs after a player has scored a super jackpot. Bud will sometimes block the ramp during ripoff. Quick Jackpot award from the wheel does not always score correctly. Cart Attack scoring can become unbalanced and score 50m.,No,G57X4,1
Paragon,Paragon,Bally,1978,,,"Tap-passing on this era of Bally is crucial and Paragon is no exception. The tap pass should work well in both directions, but especially from the lower left flipper to the lower right. Some Paragon’s have a plastic piece guarding the extra ball saucer at the end of the upper left orbit. If this plastic causes rejections from the saucer, Directors should consider removing it entirely.",No,GrXy3,1
Pin*bot,Pin*bot,Williams,1986,,,Ensure the saucer kickout is consistent and saveable.,No,G41Z8,1
Pirates of the Caribbean (Stern),Pirates of the Caribbean,Stern,2006,,,"Difficulty on Pirates of the Caribbean is determined, in addition to standard adjustments, by the Port Royal software setting (Feature Adjustment #3) and the return feed from the center ship. Disabling the post guarding the return feed from the ship will cause the ball to return in a far more dangerous, random manner. Directors are encouraged to utilize these two unusual adjustments as a last resort and rarely together.",No,GR7ZX,1
Radical!,Radical!,Bally,1990,,"This game contains lock stealing between players. Due to the unusually difficult ball-lock procedure, we recommend this game is only used in single-player scenarios. Outside of using custom roms, if they are available, no major modifications need to be made to Radical in a competitive environment.","Many of the awards, including the Mega Millions Jackpot, are random. The scoring discrepancy in the Mega Millions jackpot between players is a major concern for competitive play. Directors are encouraged to install modified roms that lock the jackpot value at 5million. Directors are also encouraged to skateboard more and scream Radical when anyone manages to shoot the lane at the top center of the playfield.",Yes,G59ZY,1
Ripley's Believe It or Not!,Ripley’s Believe it or Not,Stern,2003,,"BOZO letters should reset between players. Make short plunging as difficult as possible by using a harder spring, or by tightening the slingshots.","The valid playfield switch exploit can be used to award certain scoop awards that unbalance the scoring. In addition to unbalancing the scoring, this technique can also cause the game to take an extremely long time to complete. The worst offender of the the valid playfield scoop exploit is the North America mode, which is known to offer jackpots as high as 64 million per shot. Utilizing the exploit to this extreme level in a competition scenario is highly unlikely, though if the feed out of the scoop is consistent, 2 or 4 million per shot is not unreasonable for above-average players to achieve. Nevertheless, even while the exploit in question exists, it is difficult enough to achieve that Ripley’s Believe it or Not is still a fine tournament game for the vast majority of competitive pinball situations.",No,GRWyB,1
Scared Stiff,Scared Stiff,Bally,1996,"Adjustments 08, 09, 10, and 11 govern the game’s ball savers. Adjustments 16 and 17 govern the difficulty of the multiballs. Directors should make decisions that are correct for their own style of event. Before making any adjustments, however, consider that the Coffin multiball is a controlled shot whereas the Crate multiball is not.","Consider the ball save at the beginning of the game is not the same as the ball save at the beginning of a multiballthe former is given, the latter is an award that is earned as part of a multiball. Standard tournament setup for this game would be a default Crate multiball setup with a difficult Coffin multiball setup. Both multiballs would have short ball savers, but the initial plunge would not.","Scared Stiff has no obvious tournament issues, though it can potentially be a long playing game depending on setup decisions.",No,G4xbP,1
The Shadow,Shadow,Bally,1994,,Directors are encouraged to leave the posts guarding the right ramp and start mode saucer at factory difficulty. Long game times on the Shadow are rarely a concern regardless of setup. Ensure all switches on the battlefield are working correctly.,"2-way combo scoring from the left orbit to upper loop can create a scoring imbalance if easily repeatable. Most players are generally not capable of exploiting the imbalance, however, and many Shadows make this strategy difficult due to their inherent setup, slope, and speed, so the Shadow, regardless of 2-way combo scoring, remains a good game for all levels of competition.",No,G4jPX,1
Skateball,Skateball,Bally,1980,,,"The inlane switch on the right side should be cut or modified to stop players from rolling a ball over it safely from a cradle position. Also, the extra ball should be set on easy, with no extra balls awarded, to keep players from repeatedly collecting the 100k saucer.",No,GrNpx,1
Solar Fire,Solar Fire,Williams,1981,,,"As with most games from this era containing two playfields, Solar Fire can potentially be a long-playing game in a competitive environment.",Yes,GRB26,1
The Sopranos,Sopranos,Stern,2005,,Consider adding a red plunger spring to potentially reduce the valid switch exploit. Increase slingshot sensitivity to reduce long ball times.,"Like many Sterns, Sopranos suffers from the valid-playfield switch exploit. The effect on gameplay is minimal for all but the most skilled players.",No,G5WoB,1
Sorcerer,Sorcerer,Williams,1985,,Directors are encouraged to install a yellow post on the lock-ramp and remove the outlane rubbers.,"Sorcerer can be an extremely long-playing game in any event that includes qualifying or repetitive play. Director’s are encouraged to guard the lock-ramp with a yellow post at a minimum and to avoid using Sorcerer if possible in any event that will give top-level players extended opportunities to play. If set difficult, using Sorcerer in finals or normal bracket tournaments is acceptable, but it still runs the risk of being a long-playing game. This game also contains lock stealing between players in a multiplayer game.",Yes,G4qxv,1
Spectrum,Spectrum,Bally,1981,,"Remove legs, bolts, fold down the head, and wheel it back to the truck.","Spectrum suffers from a highly unusual competitive layout, causing games to last an exorbitant amount of time in a competitive environment when compared to other games from the same era. In addition to the playfield layout leading to exorbitant game times from average to expert players, potentially causing backups in tournament queueing systems or scheduling, Spectrum’s scoring strategies are obscure to new players, making it a poor choice for novice divisions as well. When all factors are considered, tournaments are encouraged to find a better option.",No,GRw7z,1
Spider-Man,Spider-Man,Stern,2007,,,,No,G5D94,1
Spy Hunter,Spy Hunter,Bally,1984,,,Spy Hunter is a terrible game for competition. Players will cradle the ball on the lower right flipper and backhand the saucer repeatedly. Directors are encouraged to avoid this game entirely in any competitive format.,No,GRwl7,1
Star Light,Star Light,Williams,1984,,,"Star Light is an abnormally long playing game in a competitive environment. If Star Light must be used, directors are encouraged to remove the rubbers on the outlane posts, and at events with high caliber players, consider removing the outlane posts entirely. The sensitivity of the slingshots should also be increased.",No,GRB86,1
Star Trek: The Next Generation,Star Trek Next Generation,Williams,1993,,"The pitch must be at or near factory recommendations, or the ball launch will struggle to reach the rear drop target after extended play.","Star Trek Next Generation has a lot of positives, but some of the competitive strategies for the game can be repetitive and dull. The value of reaching the Final Frontier is so high, players may choose to time out modes, leading to lots of waiting. A second strategy is to shoot the Beta ramp repeatedly and play holodecks, a video mode which has a memorizable sequence and is worth a significant number of points when completed correctly.",No,GR6d8,1
Star Wars (DE),Star Wars,Data East,1992,,"If Star Wars must be used, align the right flipper so that repeating the ramp on the fly is not possible. Make sure a ball exiting the scoop on the left does not bounce off of the left flipper when held upright back into the scoop.","Star Wars is an extremely long playing game in a competitive environment. The center ramp is easily repeatable, awards large amounts of points, and spots Force awards which are also worth significant points. For these reasons, Star Wars is a poor competitive choice when using factory code. New code has been written that addresses some of these issues, but it is currently untested in competition. Greedo deserved it.",No,G420r,1
Stars,Stars,Stern,1978,,,"Stars will be a fast-playing game timewise in competition (as is any game with a primarily open playfield that induces lateral movement). A quote from Brian Bannon comes to mind after he played Stars with no outlane or center posts during PAPA 14 Classics. “I love Stars. But that’s not Stars.” Brian could not have been more correct. Directors are encouraged to leave all posts in this game, and if anything, set them to make the game easier. Stars will never be a time concern under any circumstances. When cradling a ball, some players will pass the ball off of the center post by letting it roll off of the lowered flipper and nudging when the ball contacts the center post. This pass can be very convenient along the way to gathering stars and, if set properly by the director, will make Stars far more playable and raise scores. (show video of center post pass)",No,GrXEW,1
Strange Science,Strange Science,Bally Midway,1986,,"The only way to make this game competition-friendly is by keeping the pitch low, installing stronger flipper coils or upgraded flipper mechs, and ensuring players can easily knock a ball back through the Atom Smasher to start a two ball multiball. This helps to reduce the lock carry-over issue since it becomes far more likely players will attempt to start 2-ball or 3-ball multiballs as opposed to having everyone playing for the same shared 5-ball scoring-fest. Stronger flippers also help to ensure more feeds from the anti-gravity ramp make it the whole way around the volt-meter to feed the upper flipper. The more consistent this feed is to the upper flipper the better the game plays. Also, the monkey on this backglass is clearly the more sane of the two shown.","The upper flipper is frequently incapable of loading the Atom Smasher. The lower right flipper is also frequently incapable of knocking a locked ball free of the atom smasher. Locked balls carry over both between players AND between games. If a player does manage to start multiball, he or she will likely win due to the extremely unbalanced nature of multiball scoring.",Yes,G5nzJ,1
Super Orbit,Super Orbit,Gottlieb,1983,,,,No,G4EPE,1
Surf 'n Safari,Surf 'n Safari,Gottlieb,1991,,"Surf 'n Safari is the most fun, challenging game ever created that features a crocodile with a Jamaican accent. To make SnS suitable for high-level competition, the following changes are recommended: * Add grommets to the coil stops or bend the back end of the flipper bracket inward slightly to shorten the flipper throw and prevent the dreaded System 3 ""Catch All"" flipper effect. * Plug the Plunge hole. Use a plastic plug or duct tape or anything that works and doesn't introduce ball hanges. The Plunge awards are unbalanced and can give one player ""absolutely nothing"" and another player instant multiball, a completed column, or millions of points. Notes: 1) With the Plunge hole removed, its VUK wireform can also optionally be removed with no effect on gameply; 2) If you are unable or unwilling to plug your Plunge hole, the Catch Up can and should be disabled in the menu. * Set DOUBLE to start at DO on each ball. DOUBLE works like MUSTANG letters in Mustang and RANSOM letters in Black Knight 2000, but note that there's no option for it to start at the same place per player per game -- just per ball. * Remove the outlane switches. The Exit award (lit via one shot in each of the slides or at the start of the game depending on settings) is another source of widely unbalanced awards. Note that the outlane ball save will also be disabled when the outlane switches are removed. In conjunction with the Plunge award being disabled and no plunge feeding directly to a flipper, the elimination of the outlane ball save will significantly reduce average ball times. * Remove the Exit Award bulbs to make it more clear to players that no ball save or Exit Award. * Optionally, turn on Novelty mode so normal extra balls and specials are worth points.",,No,G5W0z,1
Tales from the Crypt,Tales from the Crypt,Data East,1993,,Be sure the spinners are working well. The flipper coils on this game will become weaker with extended use due to heat. Be sure the cabinet has proper ventilation.,Tales from the Crypt will be an average to longer playing game in a competitive environment. CPU code 3.03 fixes an issue where the video mode is worth excessive points. All directors are encouraged to update their software. The tombstone target is often a problem. The mechanism will fluctuate between being too sensitive and not registering clean hits because of flex in the target design.,No,GR6wO,1
Tales of the Arabian Nights,Tales of the Arabian Nights,Williams,1996,"Making significant modifications is never ideal, but if Tales of the Arabian Nights must be used in an event with top-level players, Directors are encouraged to disable or deaden the lower pop bumper and make the following adjustments: #06 Free Ride Timer , Off #07 Shooting Star Difficulty , Hard #08 Shooting Star Memory , No",,"Skillful players will be capable of battling the genie for a significant amount of time. If the feed out of the pop bumpers is consistent and controllable, players will repeatedly shoot the left orbit and build Harem multiball to high levels, exposing a scoring imbalance and making the game extremely long playing and monotonous. Tales of the Arabian Nights is a good game in competition for Juniors banks or less skilled players, but it will be abused as the talent level increases and should not be used in any tournament where top-level players will have the opportunity to play it unless significant modifications are made.",No,G4llj,1
Target Pool / Mini Pool,Target Pool,Gottlieb,1969,,,Target Pool is typically a fast-playing game without any major adjustments necessary. Be sure to test all of the stand-up switches prior to the event. Be sure the flippers are strong enough to easily send the ball back to the upper portion of the playfield.,No,GRbWj,1
Taxi,Taxi,Williams,1988,,"The difficulty of a Taxi is closely related to how difficult the left ramp is to shoot successfully. If a clean shot from a cradle on the right flipper only barely makes it around the ramp, the flippers will not be strong enough for any tournament that requires qualifying on the machine. Directors are encouraged to be proactive and doublecheck and/or rebuild the flipper mechs on this game prior to the tournament to ensure the left ramp can be completed consistently.","Taxi suffers from lock-stealing issues in multiplayer games, though on this particular game the concern for this problem is minimal. The flipper coils on this game will weaken with extended play due to heat.",Yes,GrN90,1
Terminator 2: Judgment Day,Terminator 2,Williams,1991,,Directors are encouraged to leave the center post in Terminator 2. Difficulty should be adjusted by widening outlanes and adjusting sling sensitivity.,"Terminator 2 software contains bugs that can potentially be devastating to a competitive game. Known bugs include: 255 drop target hits to multiball, and a multiball bug that may occur when a ball is locked with zero seconds left on the timer causing a string of odd behavior from the game.",No,GR9Bx,1
Terminator 3: Rise of the Machines,Terminator 3,Stern,2003,,There is little room for a director to adjust the difficulty of the ramp shots. Difficulty is determined by sling sensitivity and outlane posts.,Terminator 3 tends to play too long if left at factory difficulty.,No,GR91N,1
Bride of Pinbot,The Machine: Bride of Pinbot,Williams,1991,,Software settings can be used to lower the percentages of the billion point award as well as the jackpot on the small wheel. A second tactic would be to raise the billion point shot to its highest frequency.,"Bride of Pinbot will be a long playing game in a competitive environment. Whether Bride of Pinbot is a usable competition game is determined by the software settings. If set to factory, players will shoot the left ramp repeatedly in hopes of achieving the billion-point award. The billion point award in this game is random and extremely unbalanced, and therefore very unfair in a competitive setting.",No,GRpee,1
Theatre of Magic,Theatre of Magic,Bally,1995,Basement award should be set to 15 million with no mystery award.,,"Expert players have been known to abuse the left orbit / ramp to the point of causing problems time-wise for tournaments. For this reason, Theatre of Magic is an acceptable choice for juniors or less-skilled divisions, but it is not an ideal choice for events where higher caliber players will receive repeated opportunities on the game.",No,G5BLE,1
Title Fight,Title Fight,Gottlieb,1990,,,Title Fight is a ball-buster. The loop on the upper right portion of this game is worth too many points when repeated and makes Title Fight a poor competitive choice.,No,G4Xw9,1
Transformers,Transformers,Stern,2011,,"The Optimus Prime target has a tendency to not work correctly. Ensure it is working well prior to competition. Also, make sure autoplunged balls end up in the jets and not in the super-skillshot lane. If the autoplunge does not feed the pop bumpers at the start of multiball, the player cannot light jackpots until all balls have been kicked out.",Transformers has a tendency to play too long in a tournament setting if left at or near factory difficulty.,No,GRnPz,1
TRON: Legacy,Tron,Stern,2011,,No unusual adjustments are necessary. Manage difficulty through outlanes and slingshot sensitivity.,"If the game leans to the right and is set with no ball saver, players may complain when balls that are short-plunged drain down the right outlane. This is a very minor concern, however, since players retain multiple options off of the plunge and are in full control of how their ball begins. A very short ball saver can be added at the Director’s discretion.",No,GrkL5,1
Twilight Zone,Twilight Zone,Bally,1993,,"To reduce the randomness of the powerball, one normal pinball should be removed from the game, and the number of balls in the gumball should be reduced from 3 to 2. A second option is to remove the powerball entirely and set Adjustment #26 (No Powerball) to YES. The argument for removing the powerball entirely is that it eliminates randomness, the argument against removing it is that it changes a major feature of the game too drastically and that leaving it but lowering the number of balls in the gumball machine is fair enough. The difficulty of Twilight Zone is determined primarily by the consistency of the slot machine kickout and the left outlane. Consistent kickouts are preferred in all instances. Directors are encouraged to leave the outlane post on the left in the game unless removing it is absolutely necessary.",The game’s allocation of the powerball is somewhat random.,No,GrXzD,1
TX-Sector,TX-Sector,Gottlieb,1988,,"There isn’t much on TX-Sector that is adjustable, and that is fine. Directors are encouraged to leave the game somewhat close to factory settings. Even the best players in the world will not be able to abuse this game on a consistent basis.","Tournament Directors should be aware the right outlane has an opening that can feed a ball back to the shooter lane during multiball. If a ball does become stuck in the shooter lane during multiball, rules state the player must treat it as a stuck ball and plunge it immediately so as not to gain an advantage. The large drop target guarding the left ramp is unique and directors are encouraged to have this spare part on hand. (insert picture of shooter lane opening and drop target)",No,GRLzj,1
Vegas (Gott),Vegas,Gottlieb,1990,,,"Playfield multipliers (white drop targets) in the upper right portion of the playfield count toward the untimed left orbit million shot. A multiplied, maxed left orbit shot can be repeated easily and is wildly out of balance with other scoring in the game, making Vegas a poor competitive choice.",No,GrqVL,1
Whirlwind,Whirlwind,Williams,1990,,Full plunges from the shooter lane should go smoothly around the upper loop to feed the upper flipper.,"Some players may attempt to “ramp out” similar to how the ramp is abused in Earthshaker, though the shot in Whirlwind is slightly more difficult and less lucrative, meaning the strategy is less of a concern. The common objective in Whirlwind is multiball jackpots. Multiball is achieved by shooting stand-up targets placed around the playfield. On any game where the main strategy forces a player into an uncontrollable shot, such as these stand-up targets, there should be less emphasis on widening outlanes or making the game more difficult. Players are already putting themselves in peril every time they attempt to advance toward multiball. With extra balls turned on, Whirlwind can be a long-playing game, but in a tournament setup where only three balls are played, Directors are encouraged to leave the game reasonable with respect to outlanes and sling sensitivity. Even long-playing, three-ball games of Whirlwind in a competitive environment are typically shorter than many other DMD games. Directors should also consider rebuilding the upper right flipper mechanism (or even upgrading it to a 6209 coil) to ensure the jackpot ramp is consistently makeable. Increasing the effectiveness of the upper flipper will do little to increase game times, but it will certainly increase the potential for high scores and added excitement.",No,GrE7e,1
White Water,Whitewater,Williams,1993,,,"Repetitive use of the central vertical up-kicker during multi-day events could potentially lead to issues. Directors are encouraged to double-check this mechanism to ensure it is working properly. The lost-mine kickout on the left side of the game does a great deal to determine the game’s difficulty. If this kickout is easily controllable, individual gametime could increase significantly. Notes on Roms: The LH-6 home ROM is not recommended, despite the small bugs it fixes, because the mode timer does not count down during animations, making the 5X playfield + multiball (or Bigfoot Hotfoot) even more lopsided than normal. The LH-5 ROM does not award bonus hold correctly.",No,GRQKz,1
The Wizard of Oz,Wizard of Oz,Jersey Jack,2013,,,"Ramp lock will occasionally release two balls instead of one, giving the player an unfair advantage of two balls on the playfield during single ball play.",No,G4xyR,1
World Cup Soccer,World Cup Soccer,Bally,1994,,World Cup Soccer requires only standard adjustments for competitive play. The kickback should be strong enough to send a ball hard off of the soccer ball. The left flipper should be strong enough to make the right ramp from a cradle.,"Some Directors have argued the extra ball button lighting a jackpot should be disabled, but standard practice is to leave it functional. Directors should post a note on the backglass if the feature has been disabled.",No,G42E2,1
X-men,X-men,Stern,2012,,,Enable virtual lock. Turn off Iceman ramp on LE version of the game.,No,Grj6X,1
